expression	reading	level	meaning	tags
すっと	すっと	4	straight, quickly	JLPT JLPT_N4
ちょっと	ちょっと	5	a little, somewhat; just a little, somewhat	Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5
一層	いっそう	3	much more, still more	JLPT JLPT_2 JLPT_3
不足	ふそく	3	insufficiency, shortage	JLPT JLPT_2 JLPT_3
主張	しゅちょう	3	claim, insistence, assertion	JLPT JLPT_2 JLPT_3
人口	じんこう	4	population	Intermediate_Japanese_Ln.4 JLPT JLPT_N4
位置	いち	3	place, position	JLPT JLPT_2 JLPT_3
像	ぞう	3	statue, image	JLPT_1 JLPT JLPT_3
公衆	こうしゅう	2	the public	JLPT JLPT_2
動詞	どうし	3	verb	JLPT JLPT_2 JLPT_3
十	じゅう	5	ten	JLPT JLPT_3 JLPT_5 JLPT_N5
吊る	つる	2	to hang	JLPT JLPT_2
商品	しょうひん	3	commodity, merchandise	JLPT JLPT_2 JLPT_3
団地	だんち	2	housing complex	JLPT JLPT_2
地球	ちきゅう	3	the earth	JLPT JLPT_2 JLPT_3
夏	なつ	5	summer	Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
字体	じたい	3	font, lettering	JLPT_1 JLPT JLPT_3
対象	たいしょう	3	target; object (of worship, study, etc.); subject (i.e., of taxation)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
就職	しゅうしょく	3	finding employment	JLPT JLPT_2 JLPT_3
差	さ	3	difference, variation	JLPT JLPT_2 JLPT_3
延長	えんちょう	2	extension, prolongation	JLPT JLPT_2
性	せい	3	sex, gender	JLPT JLPT_2 JLPT_3
感想	かんそう	2	impressions, thoughts, feelings, reactions	JLPT JLPT_2
打つ	ぶつ	3	to hit, to strike	JLPT JLPT_2 JLPT_3
採集	さいしゅう	3	collecting, gathering	JLPT_1 JLPT JLPT_3
散る	ちる	3	to fall, to scatter (e.g., blossoms)	JLPT JLPT_2 JLPT_3
断つ	たつ	3	to sever, to cut off	JLPT_1 JLPT JLPT_3
最終	さいしゅう	3	last, closing	JLPT JLPT_2 JLPT_3
栓	せん	2	stopper, cork, stopcock	JLPT JLPT_2
次第	しだい	3	order; circumstances; immediate(ly)	JLPT JLPT_2 JLPT_3
毎週	まいしゅう	5	every week	Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
注	ちゅう	3	annotation, explanatory note	JLPT JLPT_2 JLPT_3
済む	すむ	4	to finish, to end	JLPT JLPT_N4
火事	かじ	4	fire	JLPT JLPT_N4
焦点	しょうてん	2	focus, point	JLPT JLPT_2
生地	きじ	3	fabric; dough	JLPT JLPT_2 JLPT_3
直前	ちょくぜん	2	just before	JLPT JLPT_2
知る	しる	5	to know, to understand	Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
社長	しゃちょう	4	president of a company	Genki Genki_Ln.11 JLPT JLPT_N4
章	しょう	3	chapter, section; medal	JLPT JLPT_2 JLPT_3
終了	しゅうりょう	2	end, close, termination	JLPT_1 JLPT JLPT_2
罪	つみ	3	crime, fault, indiscretion	JLPT JLPT_2 JLPT_3
至急	しきゅう	3	urgent, pressing	JLPT JLPT_2 JLPT_3
衆	しゅう	3	masses, people	JLPT_1 JLPT JLPT_3
視覚	しかく	3	sense of sight, vision	JLPT_1 JLPT JLPT_3
課長	かちょう	4	section manager	Intermediate_Japanese_Ln.7 JLPT JLPT_N4
貴重	きちょう	3	precious, valuable	JLPT JLPT_2 JLPT_3
起床	きしょう	2	rising, getting out of bed	JLPT JLPT_2
辞退	じたい	3	refusal	JLPT_1 JLPT JLPT_3
通訳	つうやく	2	interpretation (i.e., oral translation) interpreter	JLPT JLPT_2
過失	かしつ	2	error, mistake, negligence	JLPT JLPT_2
重要	じゅうよう	3	important, essential	JLPT JLPT_2 JLPT_3
長女	ちょうじょ	2	eldest daughter	JLPT JLPT_2
随分	ずいぶん	4	extremely	JLPT JLPT_N4
頂上	ちょうじょう	3	top, summit, peak	JLPT JLPT_2 JLPT_3
高層	こうそう	2	tall, high rise	JLPT JLPT_2
～史	～し	2	history of ~	JLPT JLPT_2
～庁	～ちょう	2	office, agency	JLPT JLPT_2
～町	～ちょう	4	the town of ~	JLPT JLPT_N4
～通	～つう	2	counter for letters	JLPT JLPT_2
