expression	reading	level	meaning	tags
×	ばつ	2	cross	JLPT JLPT_2
そう	そう	4	really, (is that) so; yes, right	JLPT JLPT_N4
バス	バス	5	bus; bath; bass	Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_1 JLPT_5 JLPT_N5
上司	じょうし	3	one's superior	JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.9
中性	ちゅうせい	2	neuter gender, neutral	JLPT JLPT_2
事件	じけん	3	event, affair, incident	JLPT JLPT_2 JLPT_3
付く	つく	3	to adjoin, to be attached, to adhere	JLPT JLPT_2 JLPT_3
信仰	しんこう	3	(religious) faith, belief	JLPT JLPT_2 JLPT_3
全	ぜん	3	all, whole, entire	JLPT JLPT_2 JLPT_3
刺す	さす	2	to pierce, to stab, to prick, to thrust	JLPT JLPT_2
包丁	ほうちょう	2	kitchen knife, carving knife	JLPT JLPT_2
司会	しかい	2	host, chairperson	JLPT JLPT_2
吸う	すう	5	to breathe in, to suck	JLPT JLPT_3 JLPT_5 JLPT_N5
四季	しき	2	four seasons	JLPT JLPT_2
地名	ちめい	2	place name	JLPT JLPT_2
増加	ぞうか	3	increase, addition	JLPT JLPT_2 JLPT_3
好き	すき	5	liking, fondness, love	JLPT JLPT_5 JLPT_N5
家族	かぞく	5	family, members of a family	Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
少々	しょうしょう	3	a little; short (time) (formal for 少し (すこし))	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki
巣	す	3	nest, breeding place	JLPT JLPT_2 JLPT_3
年	とし	5	year, age	JLPT JLPT_3 JLPT_5 JLPT_N5
復習	ふくしゅう	4	review (of lessons), revision	JLPT JLPT_N4
意思	いし	3	intention, purpose	JLPT JLPT_2 JLPT_3
所為	せい	3	cause, reason, fault	JLPT JLPT_2 JLPT_3
振興	しんこう	3	promotion, encouragement	JLPT_1 JLPT JLPT_3
支店	してん	3	branch store (office)	JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki
敷く	しく	2	to spread out, to lay out	JLPT JLPT_2
時刻	じこく	3	time, hour	JLPT JLPT_2 JLPT_3
松	まつ	3	pine tree	JLPT JLPT_2 JLPT_3
橋	はし	5	bridge	JLPT JLPT_3 JLPT_5 JLPT_N5
武士	ぶし	2	warrior, samurai	JLPT JLPT_2
汁	しる	2	juice, soup	JLPT JLPT_2
添う	そう	3	to accompany, to comply with	JLPT_1 JLPT JLPT_3
演奏	えんそう	3	musical performance	JLPT JLPT_2 JLPT_3
無地	むじ	2	plain	JLPT JLPT_2
現状	げんじょう	3	present condition, status quo	JLPT JLPT_2 JLPT_3
症状	しょうじょう	3	symptoms, condition	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
省～	しょう～	2	economizing ~	JLPT JLPT_2
磁器	じき	3	porcelain, china	JLPT_1 JLPT JLPT_3
空く	すく	4	to be empty (in reference to people), to be less crowded	JLPT JLPT_N4
精神	せいしん	3	mind, soul, spirit	JLPT JLPT_2 JLPT_3
総～	そう～	2	gross, general, entire	JLPT JLPT_2
膳	ぜん	3	(small) table, tray, meal	JLPT_1 JLPT JLPT_3
虫	むし	4	insect	JLPT JLPT_N4
西	にし	5	west	JLPT JLPT_5 JLPT_N5
試験	しけん	4	an exam	Genki Genki_Ln.9 JLPT JLPT_N4
講師	こうし	2	lecturer	JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
賞	しょう	3	prize, award	JLPT JLPT_2 JLPT_3
身長	しんちょう	3	height (of body), stature	JLPT JLPT_2 JLPT_3
通勤	つうきん	2	commuting to work	JLPT JLPT_2
進行	しんこう	3	advance	JLPT_1 JLPT JLPT_3
酢	す	2	vinegar	JLPT JLPT_2
鉢	はち	2	a bowl, a pot	JLPT JLPT_2
関する	かんする	3	to concern, to be related	JLPT JLPT_2 JLPT_3
電池	でんち	2	battery	Genki_Ln.15 JLPT_2 JLPT Genki
食糧	しょくりょう	3	provisions, rations	JLPT JLPT_2 JLPT_3
～兆	～ちょう	2	trillion	JLPT JLPT_2
～寺	～じ	2	the name of temple	JLPT JLPT_2
～時	～じ	5	~ o'clock (time)	JLPT JLPT_1 JLPT_5 JLPT_N5
～艘	～そう	2	counter for ships	JLPT JLPT_2
