expression	reading	level	meaning	tags
する	する	2	to print	JLPT JLPT_2
まず	まず	4	first (of all), to start with	Genki Genki_Ln.18 JLPT JLPT_N4
七	しち	5	seven	JLPT JLPT_3 JLPT_5 JLPT_N5
中世	ちゅうせい	2	Middle Ages, medieval times	JLPT JLPT_2
主要	しゅよう	3	chief, main	JLPT JLPT_2 JLPT_3
人生	じんせい	3	(human) life (e.g., conception to death)	JLPT JLPT_2 JLPT_3
住む	すむ	5	to reside, to live in	JLPT JLPT_3 JLPT_5 JLPT_N5
優勝	ゆうしょう	3	overall victory, championship	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
再三	さいさん	2	again and again, repeatedly	JLPT JLPT_2
勝ち	かち	3	win, victory	JLPT JLPT_2 JLPT_3
協調	きょうちょう	3	co-operation, conciliation, harmony	JLPT_1 JLPT JLPT_3
同志	どうし	3	same mind, comrade, kindred soul	JLPT_1 JLPT JLPT_3
商社	しょうしゃ	2	trading company	JLPT JLPT_2
土地	とち	3	plot of land, lot, soil	JLPT JLPT_2 JLPT_3
基地	きち	2	base	JLPT JLPT_2
大層	たいそう	2	very much, greatly	JLPT JLPT_2
定規	じょうぎ	2	(measuring) ruler	JLPT JLPT_2
将棋	しょうぎ	2	Japanese chess	JLPT JLPT_2
屑	くず	2	waste, scrap	JLPT JLPT_2
市	いち	3	market, fair	JLPT_1 JLPT JLPT_2 JLPT_3
強調	きょうちょう	3	emphasis, stress, stressed point	JLPT JLPT_2 JLPT_3
情	じょう	3	feelings, emotion, passion	JLPT_1 JLPT JLPT_3
慎重	しんちょう	3	careful, prudent, cautious	JLPT JLPT_2 JLPT_3
指導	しどう	3	leadership, guidance, coaching	JLPT JLPT_2 JLPT_3
撃つ	うつ	3	to attack, to shoot	JLPT JLPT_2 JLPT_3
数	すう	3	number, figure	JLPT JLPT_2 JLPT_3
日	にち	3	day	JLPT JLPT_2 JLPT_3
末	まつ	3	the end of	JLPT_1 JLPT JLPT_3
校長	こうちょう	4	principal, headmaster	JLPT JLPT_N4
正	せい	3	(logical) true, regular	JLPT JLPT_2 JLPT_3
氏名	しめい	2	full name	JLPT JLPT_2
注意	ちゅうい	4	caution, attention	JLPT JLPT_N4
渦	うず	3	swirl	JLPT_1 JLPT JLPT_3
為す	なす	2	to accomplish, to do	JLPT JLPT_2
牛	うし	3	cattle, cow	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
用事	ようじ	4	business to take care of; tasks; errands	Genki Genki_Ln.12 JLPT JLPT_N4
相	そう	3	aspect, phase, countenance	JLPT_1 JLPT JLPT_3
知人	ちじん	2	friend, acquaintance	JLPT JLPT_2 Intermediate_Japanese_Ln.1 Intermediate_Japanese
税	ぜい	3	tax	JLPT JLPT_2 JLPT_3
競争	きょうそう	4	competition, contest	JLPT JLPT_N4
経つ	たつ	3	(time) passes	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
習慣	しゅうかん	4	custom (in reference to culture)	JLPT JLPT_N4
菓子	かし	3	confectionery, sweet	JLPT JLPT_2 JLPT_3
表紙	ひょうし	2	front cover, binding	JLPT JLPT_2
角	すみ	3	corner	JLPT JLPT_2 JLPT_3
調査	ちょうさ	3	survey; investigation	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
貸す	かす	5	to lend	Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
趣味	しゅみ	4	hobby; pastime	Genki Genki_Ln.20 JLPT JLPT_N4
近く	ちかく	5	nearby; in the neighborhood	Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
連れる	つれる	4	to lead, to take (a person)	JLPT JLPT_N4
部首	ぶしゅ	2	radical (of a kanji character)	JLPT JLPT_2
重量	じゅうりょう	2	heavyweight	JLPT JLPT_2
長期	ちょうき	3	long time period	JLPT JLPT_2 JLPT_3
集金	しゅうきん	2	money collection	JLPT JLPT_2
順調	じゅんちょう	3	doing well	JLPT JLPT_2 JLPT_3
～ちゃん	～ちゃん	4	suffix for familiar (female) person	JLPT JLPT_N4
～場	～じょう	2	kind of field, ground	JLPT JLPT_2
～所	～しょ	2	place	JLPT JLPT_2
～省	～しょう	2	kind of ministry	JLPT JLPT_2
～集	～しゅう	2	collection of ~	JLPT JLPT_2
