expression	reading	keep	example_sentence	note
ずれる	ずれる	yes	時計が少しずれている。
シャツ	シャツ	yes	白いシャツを買った。
上	じょう	no		bound morpheme; standalone uses 上(うえ) or compounds
中心	ちゅうしん	yes	町の中心に駅がある。
乾燥	かんそう	yes	空気が乾燥している。
人類	じんるい	yes	人類の歴史は長い。
価値	かち	yes	この本には価値がある。
児童	じどう	yes	児童が公園で遊んでいる。
刷る	する	yes	ポスターを刷る。
勝負	しょうぶ	yes	勝負に勝った。
口	くち	yes	口を開けてください。
名人	めいじん	yes	彼は将棋の名人だ。
四	し	yes	四と四で八になる。
地区	ちく	yes	この地区は静かだ。
増す	ます	yes	川の水が増す。
女～	じょ～	no		prefix only
家事	かじ	yes	毎日家事をしている。
小説	しょうせつ	yes	面白い小説を読んだ。
州	しゅう	yes	カリフォルニア州に住んでいる。
常識	じょうしき	yes	それは常識だよ。
後者	こうしゃ	yes	私は後者を選ぶ。
意志	いし	yes	強い意志を持つ。
成長	せいちょう	yes	子供の成長が早い。
挑戦	ちょうせん	yes	新しいことに挑戦する。
擦る	する	yes	マッチを擦る。
数学	すうがく	yes	数学が好きだ。
時代	じだい	yes	江戸時代の話です。
杉	すぎ	yes	庭に杉が立っている。
構造	こうぞう	yes	建物の構造を調べる。
正午	しょうご	yes	正午に会いましょう。
水分	すいぶん	yes	水分をとってください。
涼む	すずむ	yes	木陰で涼む。
漁師	りょうし	yes	父は漁師です。
無事	ぶじ	yes	無事に家に着いた。
狡い	ずるい	yes	そんなのずるいよ。
男子	だんし	yes	男子のトイレはあちらです。
相当	そうとう	yes	相当疲れている。
砂	すな	yes	砂が靴に入った。
積む	つむ	yes	本を机に積む。
節	ふし	yes	歌の節を覚えた。
綱	つな	yes	綱を強く引く。
背	せい	yes	弟は背が高い。
蒸気	じょうき	yes	やかんから蒸気が出る。
複数	ふくすう	yes	複数の意見がある。
記事	きじ	yes	新聞の記事を読んだ。
諸～	しょ～	no		prefix only
資格	しかく	yes	教師の資格を取った。
足す	たす	yes	二に三を足す。
通信	つうしん	yes	通信が途切れた。
進む	すすむ	yes	前に進んでください。
都市	とし	yes	大きな都市に住んでいる。
釣る	つる	yes	川で魚を釣る。
開通	かいつう	yes	新しい道路が開通した。
電子	でんし	yes	電子の動きを調べる。
食料	しょくりょう	yes	食料を買いに行く。
～中	～ちゅう	no		suffix only
～室	～しつ	no		counter/suffix only
～日	～じつ	no		suffix only
～船	～せん	no		counter only, requires number
