expression	reading	level	meaning	tags
ずっと	ずっと	3	for a long time; all the time; consecutively	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki
もし	もし	4	if	JLPT JLPT_N4
丈夫	じょうぶ	5	strong, solid, durable	JLPT JLPT_5 JLPT_N5
中学	ちゅうがく	3	middle school, junior high school	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
乗車	じょうしゃ	2	taking a train, entraining	JLPT JLPT_2
人造	じんぞう	2	man-made, synthetic, artificial	JLPT JLPT_2
体操	たいそう	2	gymnastics, physical exercises, calisthenics	JLPT JLPT_2
先週	せんしゅう	5	last week	Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
初～	しょ～	2	first ~	JLPT JLPT_2
勝つ	かつ	4	to win	JLPT JLPT_N4
友情	ゆうじょう	3	friendship, fellowship	JLPT JLPT_2 JLPT_3
同時	どうじ	3	simultaneous(ly), same time	JLPT JLPT_2 JLPT_3
善	ぜん	3	good, virtue	JLPT JLPT_2 JLPT_3
地	ち	3	earth	JLPT JLPT_2 JLPT_3
境	さかい	3	border, boundary, mental state	JLPT JLPT_2 JLPT_3
失礼	しつれい	4	discourtesy, impoliteness; Excuse me	JLPT JLPT_N4
実例	じつれい	2	example, instance	JLPT JLPT_2
小	しょう	3	small	JLPT JLPT_2 JLPT_3
岸	きし	3	bank, coast, shore	JLPT JLPT_2 JLPT_3
市	し	4	city	JLPT JLPT_N4
待つ	まつ	5	to wait	JLPT JLPT_3 JLPT_5 JLPT_N5
意地	いじ	3	disposition, spirit, obstinacy, appetite	JLPT_1 JLPT JLPT_3
成人	せいじん	3	adult	JLPT JLPT_2 JLPT_3
指揮	しき	3	command, direction	JLPT_1 JLPT JLPT_3
操作	そうさ	3	operation, management, processing	JLPT JLPT_2 JLPT_3
数字	すうじ	3	numeral, figure	JLPT JLPT_2 JLPT_3
昼食	ちゅうしょく	3	lunch (same as 昼ご飯 (ひるごはん))	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.6
札	さつ	3	bill, note	JLPT JLPT_2 JLPT_3
椅子	いす	5	chair	JLPT JLPT_3 JLPT_5 JLPT_N5
正体	しょうたい	3	natural shape, one's true colors, true character	JLPT_1 JLPT JLPT_3
水	みず	5	water	Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
消化	しょうか	2	digestion	JLPT JLPT_2
測量	そくりょう	2	measurement, surveying	JLPT JLPT_2
為る	する	3	to do, to attempt	JLPT JLPT_2 JLPT_3
状態	じょうたい	3	condition, situation	JLPT JLPT_2 JLPT_3
申請	しんせい	2	application, request, petition	JLPT JLPT_2
相互	そうご	2	mutual, reciprocal	JLPT JLPT_2
石	いし	4	stone	JLPT JLPT_N4
種類	しゅるい	3	variety, kind	JLPT JLPT_2 JLPT_3
箸	はし	5	chopsticks	Genki Genki_Ln.8 JLPT JLPT_3 JLPT_5 JLPT_N5
維持	いじ	3	maintenance, preservation	JLPT JLPT_2 JLPT_3
耕地	こうち	2	arable land	JLPT JLPT_2
葬式	そうしき	2	funeral	JLPT JLPT_2
製造	せいぞう	3	manufacture, production	JLPT JLPT_2 JLPT_3
討つ	うつ	3	to attack, to avenge	JLPT JLPT_2 JLPT_3
調節	ちょうせつ	2	regulation, adjustment, control	JLPT JLPT_2
資料	しりょう	2	materials, data	JLPT JLPT_2
足; 脚	あし	5	foot; leg	JLPT JLPT_5 JLPT_N5
迷信	めいしん	2	superstition	JLPT JLPT_2
週	しゅう	3	week	JLPT JLPT_2 JLPT_3
郵送	ゆうそう	2	mailing	JLPT JLPT_2
釣	つり	3	fishing	JLPT JLPT_2 JLPT_3
長～	ちょう～	2	long ~	JLPT JLPT_2
雑巾	ぞうきん	2	house-cloth, dust cloth	JLPT JLPT_2
領事	りょうじ	2	consul	JLPT JLPT_2
～中	～じゅう	5	during, while	JLPT JLPT_2 JLPT_5 JLPT_N5
～女	～じょ	2	count for sisters	JLPT JLPT_2
～所	～じょ	2	place	JLPT JLPT_2
～紙	～し	2	newspaper, type of paper	JLPT JLPT_2
