expression	reading	level	meaning	tags
すり	すり	4	pickpocket	JLPT JLPT_N4
はず	はず	4	it should be so	JLPT JLPT_N4
一生	いっしょう	3	throughout (one's) life	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
中	ちゅう	3	inside, middle, among	JLPT JLPT_2 JLPT_3
主義	しゅぎ	3	doctrine, cause, principle	JLPT JLPT_2 JLPT_3
人工	じんこう	3	artificial, man made, human work,	JLPT JLPT_2 JLPT_3
住	じゅう	3	dwelling, living	JLPT_1 JLPT JLPT_3
僧	そう	3	monk, priest	JLPT_1 JLPT JLPT_3
内	うち	4	within, inside	JLPT JLPT_N4
勘定	かんじょう	3	calculation, counting, consideration	JLPT JLPT_2 JLPT_3
千	せん	5	thousand	JLPT JLPT_5 JLPT_N5
同士	どうし	3	one another, companion, comrade	JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.9
商店	しょうてん	2	shop, business firm	JLPT JLPT_2
図	ず	3	figure, drawing, illustration	JLPT JLPT_2 JLPT_3
地理	ちり	4	geography	JLPT JLPT_N4
夢中	むちゅう	3	crush, crazy, be hooked on	JLPT JLPT_2 JLPT_3
官庁	かんちょう	2	government office, authorities	JLPT JLPT_2
射す	さす	3	to shine, to strike	JLPT JLPT_2 JLPT_3
尻	しり	3	buttocks, bottom	JLPT JLPT_2 JLPT_3
差す	さす	5	to raise (stretch out) hands, to raise (e.g., umbrella)	JLPT JLPT_3 JLPT_5 JLPT_N5
建つ	たつ	2	to be erected, to be built	JLPT JLPT_2
患者	かんじゃ	3	patient	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
感謝	かんしゃ	3	thanks, gratitude	JLPT JLPT_2 JLPT_3
指す	さす	3	to point,	JLPT JLPT_2 JLPT_3
摘む	つむ	3	to pluck, to pick, to trim	JLPT_1 JLPT JLPT_3
数	かず	3	number, figure, amount	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
新興	しんこう	3	rising, developing, emergent	JLPT_1 JLPT JLPT_3
月	つき	4	moon	Genki Genki_Ln.20 JLPT JLPT_N4
校舎	こうしゃ	2	school building, schoolhouse	JLPT JLPT_2
歌手	かしゅ	3	singer	JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
氏	し	3	family name, lineage	JLPT JLPT_2 JLPT_3
注す	さす	3	to pour (drink), to serve (drinks)	JLPT JLPT_2 JLPT_3
減少	げんしょう	3	decrease, reduction, decline	JLPT_1 JLPT JLPT_3
点く	つく	4	to be started, to be switched on	JLPT JLPT_N4
父	ちち	5	(my) father	Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
生長	せいちょう	2	growth (of a plant)	JLPT JLPT_2
直線	ちょくせん	2	straight line	JLPT JLPT_2
知事	ちじ	3	prefectural governor	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
禅	ぜん	3	Zen (Buddhism)	JLPT_1 JLPT JLPT_3
端	はし	3	end (e.g., of street), edge, margin	JLPT JLPT_2 JLPT_3
終点	しゅうてん	2	terminus, last stop (e.g train)	JLPT JLPT_2
習字	しゅうじ	2	penmanship	JLPT JLPT_2
茶	ちゃ	3	tea	JLPT JLPT_2 JLPT_3
表示	ひょうじ	3	display, indication	JLPT_3
親類	しんるい	2	relative(s) (same as 親戚 (しんせき))	JLPT Intermediate_Japanese JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese_Ln.9
調子	ちょうし	3	condition, state, tune, tone	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
貸し	かし	3	loan, lending	JLPT JLPT_2 JLPT_3
超過	ちょうか	2	excess, being more than	JLPT JLPT_2
近い	ちかい	5	near, close by, short	Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
造船	ぞうせん	2	shipbuilding	JLPT JLPT_2
選手	せんしゅ	3	player selected for a team (usually athletic)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
重視	じゅうし	3	importance, stress	JLPT JLPT_2 JLPT_3
長所	ちょうしょ	2	strong point, merit; advantage	JLPT JLPT_2
隙	すき	2	unguarded moment, chance	JLPT JLPT_2
頂点	ちょうてん	2	top, summit	JLPT JLPT_2
～さん	～さん	5	Mr. ~, Ms. ~	JLPT JLPT_2 JLPT_5 JLPT_N5
～商	～しょう	2	merchant, business	JLPT JLPT_2
～戦	～せん	2	counter for games, matches	JLPT JLPT_2
～畳	～じょう	2	count for tatami, mat	JLPT JLPT_2
～長	～ちょう	2	leader, head	JLPT JLPT_2
