expression	reading	level	meaning	tags
いつ	いつ	5	when	Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5
そっと	そっと	3	softly, gently	JLPT JLPT_2 JLPT_3
ミス	ミス	3	miss (mistake, error, failure), Miss	JLPT_1 JLPT JLPT_2 JLPT_3
上品	じょうひん	2	refined, elegant, well-mannered	JLPT JLPT_2
中止	ちゅうし	3	suspension, stoppage, discontinuance	JLPT JLPT_2 JLPT_3
交差	こうさ	2	cross	JLPT JLPT_2
付属	ふぞく	2	being attached (to), being affiliated (to), belonging (to), going with	JLPT JLPT_2
修正	しゅうせい	3	amendment, correction	JLPT JLPT_2 JLPT_3
全集	ぜんしゅう	2	complete works	JLPT JLPT_2
劇場	げきじょう	3	theater, playhouse	JLPT JLPT_2 JLPT_3
包装	ほうそう	2	packing, wrapping	JLPT JLPT_2
各地	かくち	2	various parts of the country	JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese
周囲	しゅうい	3	surroundings, circumference, environs	JLPT JLPT_2 JLPT_3
四角	しかく	3	square	JLPT JLPT_2 JLPT_3
地帯	ちたい	2	area, zone	JLPT JLPT_2
増大	ぞうだい	2	increase, growth	JLPT JLPT_2
姓	せい	2	surname, family name	JLPT JLPT_2
密	みつ	3	thick, close	JLPT JLPT_2 JLPT_3
少女	しょうじょ	3	young girl	JLPT JLPT_2 JLPT_3
工事	こうじ	2	construction work	JLPT JLPT_2
幼児	ようじ	2	infant, baby, child	JLPT JLPT_2
循環	じゅんかん	2	circulation, rotation, cycle	JLPT JLPT_2
感ずる	かんずる	2	to feel, to sense	JLPT JLPT_2
扇子	せんす	2	folding fan	JLPT JLPT_2 Genki_Ln.20 Genki
挿す	さす	3	to insert, to put in, to graft	JLPT JLPT_2 JLPT_3
支給	しきゅう	3	payment, allowance	JLPT JLPT_2 JLPT_3
文字	もじ	3	letter (of alphabet), character	JLPT JLPT_2 JLPT_3
時期	じき	3	time, season, period	JLPT JLPT_2 JLPT_3
枚数	まいすう	2	the number of flat things	JLPT JLPT_2
櫛	くし	2	comb	JLPT JLPT_2
死	し	3	death, decease	JLPT_1 JLPT JLPT_3
治療	ちりょう	3	medical treatment	JLPT_1 JLPT JLPT_3
清む	すむ	3	to clear (e.g., weather), to become transparent	JLPT JLPT_2 JLPT_3
澄む	すむ	3	to clear (e.g., weather), to become transparent	JLPT JLPT_2 JLPT_3
無数	むすう	2	countless number, infinite number	JLPT JLPT_2
現象	げんしょう	3	phenomenon	JLPT JLPT_2 JLPT_3
発	はつ	2	to depart (e.g., on a plane, train)	JLPT JLPT_2
着く	つく	5	to arrive at, to reach	JLPT JLPT_3 JLPT_5 JLPT_N5
磁気	じき	3	magnetism	JLPT_1 JLPT JLPT_3
突く	つく	3	to thrust, to strike; to poke	JLPT JLPT_2 JLPT_3
紅茶	こうちゃ	5	black tea	Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
線	せん	4	line, wire	JLPT JLPT_N4
自動	じどう	3	automatic, self-motion	JLPT JLPT_2 JLPT_3
虹	にじ	2	rainbow	JLPT JLPT_2
要旨	ようし	2	gist, essentials, summary	JLPT JLPT_2
詩	し	3	poem; poetry	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
象	ぞう	3	elephant	JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki
賞品	しょうひん	2	prize, trophy	JLPT JLPT_2
車掌	しゃしょう	2	(train) conductor	JLPT JLPT_2
通学	つうがく	3	commuting to school	JLPT JLPT_2 JLPT_3
遅刻	ちこく	3	lateness, late coming	JLPT JLPT_2 JLPT_3
重役	じゅうやく	2	director, high executive	JLPT JLPT_2
銃	じゅう	3	gun	JLPT JLPT_2 JLPT_3
附属	ふぞく	2	attached, belonging, affiliated	JLPT JLPT_2
需要	じゅよう	3	demand	JLPT JLPT_2 JLPT_3
餅	もち	2	sticky rice cake	JLPT JLPT_2
～前	～ぜん	2	before ~	JLPT JLPT_2
～山	～さん	2	the name of mountain	JLPT JLPT_2
～条	～じょう	2	counter for article	JLPT_1 JLPT JLPT_2
～色	～しょく	2	kind of color	JLPT JLPT_2
