expression	reading	keep	example_sentence	note
すっと	すっと	yes	彼はすっと立ち上がった。
ちょっと	ちょっと	yes	ちょっと待ってください。
一層	いっそう	yes	一層がんばります。
不足	ふそく	yes	睡眠が不足しています。
主張	しゅちょう	yes	彼は自分の主張を曲げない。
人口	じんこう	yes	この町の人口は少ない。
位置	いち	yes	地図で位置を確認する。
像	ぞう	no		bound morpheme; standalone uses 銅像/想像 etc.
公衆	こうしゅう	yes	公衆の前で話すのは緊張する。
動詞	どうし	yes	この動詞の意味を教えてください。
十	じゅう	yes	十まで数えてください。
吊る	つる	yes	服をハンガーに吊る。
商品	しょうひん	yes	この商品は人気があります。
団地	だんち	yes	祖母は団地に住んでいる。
地球	ちきゅう	yes	地球は丸い。
夏	なつ	yes	夏は暑いです。
字体	じたい	yes	この字体は読みにくい。
対象	たいしょう	yes	子供を対象にした本です。
就職	しゅうしょく	yes	来年就職します。
差	さ	yes	値段に差がある。
延長	えんちょう	yes	試合が延長になった。
性	せい	no		bound morpheme/suffix; standalone use rare
感想	かんそう	yes	感想を聞かせてください。
打つ	ぶつ	yes	子供をぶつのはよくない。
採集	さいしゅう	yes	昆虫の採集が趣味です。
散る	ちる	yes	桜の花が散る。
断つ	たつ	yes	お酒を断つことにした。
最終	さいしゅう	yes	最終のバスに乗り遅れた。
栓	せん	yes	瓶の栓を抜く。
次第	しだい	yes	着き次第連絡します。
毎週	まいしゅう	yes	毎週日曜日に出かけます。
注	ちゅう	no		bound morpheme; usually 注釈/注意 or 注をつける is technical
済む	すむ	yes	仕事が済みました。
火事	かじ	yes	近所で火事があった。
焦点	しょうてん	yes	話の焦点がぼやけている。
生地	きじ	yes	この生地は柔らかい。
直前	ちょくぜん	yes	試験の直前は緊張する。
知る	しる	yes	彼の名前を知っていますか。
社長	しゃちょう	yes	社長は今出かけています。
章	しょう	yes	次の章を読みましょう。
終了	しゅうりょう	yes	会議が終了しました。
罪	つみ	yes	彼は罪を犯した。
至急	しきゅう	yes	至急連絡してください。
衆	しゅう	no		bound morpheme; only in compounds like 大衆/民衆
視覚	しかく	yes	視覚に訴えるデザイン。
課長	かちょう	yes	課長に相談しました。
貴重	きちょう	yes	貴重な経験ができた。
起床	きしょう	yes	毎朝六時に起床します。
辞退	じたい	yes	招待を辞退した。
通訳	つうやく	yes	彼女は通訳をしている。
過失	かしつ	yes	過失を認めて謝った。
重要	じゅうよう	yes	これは重要な問題です。
長女	ちょうじょ	yes	彼女は長女です。
随分	ずいぶん	yes	随分大きくなったね。
頂上	ちょうじょう	yes	山の頂上まで登った。
高層	こうそう	yes	高層ビルが立ち並ぶ。
～史	～し	no		suffix only
～庁	～ちょう	no		suffix only
～町	～ちょう	no		suffix only (place-name suffix)
～通	～つう	no		counter for letters
