expression	reading	level	meaning	tags
ずれる	ずれる	3	move, off the point	JLPT JLPT_2 JLPT_3
シャツ	シャツ	5	shirt	Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
上	じょう	3	first volume; superior quality; governmental	JLPT JLPT_2 JLPT_3
中心	ちゅうしん	3	center, core	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
乾燥	かんそう	2	dry, arid, insipid, dehydrated	JLPT JLPT_2
人類	じんるい	3	mankind, humanity	JLPT JLPT_2 JLPT_3
価値	かち	3	value, worth, merit	JLPT JLPT_2 JLPT_3
児童	じどう	2	children, juvenile	JLPT JLPT_2
刷る	する	3	to print	JLPT JLPT_2 JLPT_3
勝負	しょうぶ	2	victory or defeat, game	JLPT JLPT_2
口	くち	5	job opening; mouth	Intermediate_Japanese Intermediate_Japanese_Ln.11 Intermediate_Japanese_Ln.8 JLPT JLPT_5 JLPT_N5
名人	めいじん	3	master, expert	JLPT JLPT_2 JLPT_3
四	し	5	four	JLPT JLPT_3 JLPT_5 JLPT_N5
地区	ちく	3	district, section	JLPT JLPT_2 JLPT_3
増す	ます	3	to increase, to gain	JLPT JLPT_2 JLPT_3
女～	じょ～	2	things done by women	JLPT JLPT_2
家事	かじ	3	household matters; housework (same as 家の仕事 (いえのしごと))	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki
小説	しょうせつ	4	novel	Genki Genki_Ln.20 JLPT JLPT_N4
州	しゅう	3	state, province	JLPT JLPT_2 JLPT_3
常識	じょうしき	3	common sense	JLPT JLPT_2 JLPT_3
後者	こうしゃ	3	the latter	JLPT JLPT_2 JLPT_3
意志	いし	3	will, volition	JLPT JLPT_2 JLPT_3
成長	せいちょう	3	growth	JLPT JLPT_2 JLPT_3
挑戦	ちょうせん	3	challenge, defiance	JLPT_1 JLPT JLPT_3
擦る	する	3	to rub, to chafe	JLPT_1 JLPT JLPT_3
数学	すうがく	4	mathematics	JLPT JLPT_N4
時代	じだい	4	age, period, epoch, era	JLPT JLPT_N4
杉	すぎ	2	Japanese cedar	JLPT JLPT_2
構造	こうぞう	2	structure, construction	JLPT JLPT_2
正午	しょうご	3	noon, mid-day	JLPT JLPT_2 JLPT_3
水分	すいぶん	2	moisture	JLPT JLPT_2
涼む	すずむ	2	to cool oneself, to cool off	JLPT JLPT_2
漁師	りょうし	2	fisherman	JLPT JLPT_2
無事	ぶじ	3	safety, peace	JLPT JLPT_2 JLPT_3
狡い	ずるい	2	sly, cunning	JLPT JLPT_2
男子	だんし	3	young man	JLPT JLPT_2 JLPT_3
相当	そうとう	3	considerably, fairly; worth ~	JLPT JLPT_2 JLPT_3
砂	すな	4	sand	JLPT JLPT_N4
積む	つむ	2	to pile up, to stack	JLPT JLPT_2
節	ふし	3	tune, tone, knob	JLPT JLPT_2 JLPT_3
綱	つな	2	rope	JLPT JLPT_2
背	せい	5	(one's) height, stature	Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
蒸気	じょうき	2	steam, vapor	JLPT JLPT_2
複数	ふくすう	2	plural, multiple	JLPT JLPT_2
記事	きじ	3	article, news story	JLPT JLPT_2 JLPT_3
諸～	しょ～	2	various ~	JLPT JLPT_2
資格	しかく	3	qualifications, requirements, capabilities	JLPT_1 JLPT JLPT_3
足す	たす	4	to add (numbers)	JLPT JLPT_N4
通信	つうしん	3	correspondence, communications	JLPT JLPT_2 JLPT_3
進む	すすむ	4	to advance, to proceed	JLPT JLPT_N4
都市	とし	3	town, city, urban	JLPT JLPT_2 JLPT_3
釣る	つる	4	to fish	JLPT JLPT_N4
開通	かいつう	2	opening, open	JLPT JLPT_2
電子	でんし	3	electron; electronic	JLPT JLPT_2 JLPT_3
食料	しょくりょう	3	food	JLPT JLPT_2 JLPT_3
～中	～ちゅう	5	during, while ~ing	JLPT JLPT_5 JLPT_N5
～室	～しつ	2	counter for room	JLPT JLPT_2
～日	～じつ	2	day	JLPT JLPT_2
～船	～せん	2	counter for ships	JLPT JLPT_2
