seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora
3	ちょうだい	ちょうだい	2	増大	ぞうだい	0	ちょ	ぞ
3	乾燥	かんそう	2	官庁	かんちょう	2	そ	ちょ
3	乾燥	かんそう	2	鑑賞	かんしょう	2	そ	しょ
3	人生	じんせい	2	申請	しんせい	0	じ	し
3	人類	じんるい	2	親類	しんるい	0	じ	し
3	修正	しゅうせい	2	中世	ちゅうせい	0	しゅ	ちゅ
3	修正	しゅうせい	2	中性	ちゅうせい	0	しゅ	ちゅ
3	優勝	ゆうしょう	2	郵送	ゆうそう	2	しょ	そ
3	劇場	げきじょう	2	激増	げきぞう	2	じょ	ぞ
3	勘定	かんじょう	2	官庁	かんちょう	2	じょ	ちょ
3	勘定	かんじょう	2	鑑賞	かんしょう	2	じょ	しょ
3	包装	ほうそう	2	包丁	ほうちょう	2	そ	ちょ
3	友情	ゆうじょう	2	郵送	ゆうそう	2	じょ	そ
3	名人	めいじん	2	迷信	めいしん	2	じ	し
3	商品	しょうひん	2	上品	じょうひん	0	しょ	じょ
3	対照	たいしょう	2	体操	たいそう	2	しょ	そ
3	対照	たいしょう	2	大層	たいそう	2	しょ	そ
3	対象	たいしょう	2	体操	たいそう	2	しょ	そ
3	対象	たいしょう	2	大層	たいそう	2	しょ	そ
3	常識	じょうしき	2	葬式	そうしき	0	じょ	そ
3	心臓	しんぞう	2	人造	じんぞう	0	し	じ
3	感情	かんじょう	2	官庁	かんちょう	2	じょ	ちょ
3	感情	かんじょう	2	鑑賞	かんしょう	2	じょ	しょ
3	感想	かんそう	2	官庁	かんちょう	2	そ	ちょ
3	感想	かんそう	2	鑑賞	かんしょう	2	そ	しょ
3	成長	せいちょう	2	清掃	せいそう	2	ちょ	そ
3	挑戦	ちょうせん	2	造船	ぞうせん	0	ちょ	ぞ
3	演奏	えんそう	2	延長	えんちょう	2	そ	ちょ
3	生長	せいちょう	2	清掃	せいそう	2	ちょ	そ
3	瞬間	しゅんかん	2	循環	じゅんかん	0	しゅ	じゅ
3	製造	せいぞう	2	清掃	せいそう	2	ぞ	そ
3	財産	ざいさん	2	再三	さいさん	0	ざ	さ
3	賞品	しょうひん	2	上品	じょうひん	0	しょ	じょ
3	通勤	つうきん	2	集金	しゅうきん	0	つ	しゅ
3	通訳	つうやく	2	重役	じゅうやく	0	つ	じゅ
3	重要	じゅうよう	2	通用	つうよう	0	じゅ	つ
3	関する	かんする	2	感ずる	かんずる	2	す	ず
3	順調	じゅんちょう	2	純情	じゅんじょう	2	ちょ	じょ
3	食料	しょくりょう	2	測量	そくりょう	0	しょ	そ
3	食糧	しょくりょう	2	測量	そくりょう	0	しょ	そ
4	交通	こうつう	2	公衆	こうしゅう	2	つ	しゅ
4	会場	かいじょう	2	改造	かいぞう	2	じょ	ぞ
4	失礼	しつれい	2	実例	じつれい	0	し	じ
4	小説	しょうせつ	2	調節	ちょうせつ	0	しょ	ちょ
4	工場	こうじょう	2	構造	こうぞう	2	じょ	ぞ
4	工場	こうじょう	2	高層	こうそう	2	じょ	そ
4	復習	ふくしゅう	2	複数	ふくすう	2	しゅ	す
4	校長	こうちょう	2	構造	こうぞう	2	ちょ	ぞ
4	校長	こうちょう	2	高層	こうそう	2	ちょ	そ
4	習慣	しゅうかん	2	中間	ちゅうかん	0	しゅ	ちゅ
4	随分	ずいぶん	2	水分	すいぶん	0	ず	す
