seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora
2	商店	しょうてん	2	頂点	ちょうてん	0	しょ	ちょ
2	回数	かいすう	2	開通	かいつう	2	す	つ
2	官庁	かんちょう	2	鑑賞	かんしょう	2	ちょ	しょ
2	構造	こうぞう	2	高層	こうそう	2	ぞ	そ
2	焦点	しょうてん	2	頂点	ちょうてん	0	しょ	ちょ
2	直前	ちょくぜん	2	直線	ちょくせん	2	ぜ	せ
2	終了	しゅうりょう	2	重量	じゅうりょう	0	しゅ	じゅ
2	終点	しゅうてん	2	重点	じゅうてん	0	しゅ	じゅ
2	賞金	しょうきん	2	雑巾	ぞうきん	0	しょ	ぞ
2	乗車	じょうしゃ	2	商社	しょうしゃ	0	じょ	しょ
2	各地	かくち	2	各自	かくじ	2	ち	じ
2	地名	ちめい	2	氏名	しめい	0	ち	し
2	地帯	ちたい	2	死体	したい	0	ち	し
2	定規	じょうぎ	2	将棋	しょうぎ	0	じょ	しょ
2	工事	こうじ	2	耕地	こうち	2	じ	ち
2	工事	こうじ	2	講師	こうし	2	じ	し
2	幼児	ようじ	2	幼稚	ようち	2	じ	ち
2	幼児	ようじ	2	要旨	ようし	2	じ	し
2	幼稚	ようち	2	要旨	ようし	2	ち	し
2	果実	かじつ	2	過失	かしつ	1	じ	し
2	消化	しょうか	2	超過	ちょうか	0	しょ	ちょ
2	漁師	りょうし	2	領事	りょうじ	2	し	じ
2	省～	しょう～	2	総～	そう～	0	しょ	そ
2	省～	しょう～	2	長～	ちょう～	0	しょ	ちょ
2	総～	そう～	2	長～	ちょう～	0	そ	ちょ
2	耕地	こうち	2	講師	こうし	2	ち	し
2	長女	ちょうじょ	2	長所	ちょうしょ	2	じょ	しょ
2	～兆	～ちょう	2	～勝	～しょう	1	ちょ	しょ
2	～兆	～ちょう	2	～商	～しょう	1	ちょ	しょ
2	～兆	～ちょう	2	～場	～じょう	1	ちょ	じょ
2	～兆	～ちょう	2	～条	～じょう	1	ちょ	じょ
2	～兆	～ちょう	2	～畳	～じょう	1	ちょ	じょ
2	～兆	～ちょう	2	～省	～しょう	1	ちょ	しょ
2	～兆	～ちょう	2	～艘	～そう	1	ちょ	そ
2	～前	～ぜん	2	～戦	～せん	1	ぜ	せ
2	～前	～ぜん	2	～船	～せん	1	ぜ	せ
2	～勝	～しょう	2	～場	～じょう	1	しょ	じょ
2	～勝	～しょう	2	～帳	～ちょう	1	しょ	ちょ
2	～勝	～しょう	2	～庁	～ちょう	1	しょ	ちょ
2	～勝	～しょう	2	～条	～じょう	1	しょ	じょ
2	～勝	～しょう	2	～畳	～じょう	1	しょ	じょ
2	～勝	～しょう	2	～艘	～そう	1	しょ	そ
2	～勝	～しょう	2	～長	～ちょう	1	しょ	ちょ
2	～商	～しょう	2	～場	～じょう	1	しょ	じょ
2	～商	～しょう	2	～帳	～ちょう	1	しょ	ちょ
2	～商	～しょう	2	～庁	～ちょう	1	しょ	ちょ
2	～商	～しょう	2	～条	～じょう	1	しょ	じょ
2	～商	～しょう	2	～畳	～じょう	1	しょ	じょ
2	～商	～しょう	2	～艘	～そう	1	しょ	そ
2	～商	～しょう	2	～長	～ちょう	1	しょ	ちょ
2	～場	～じょう	2	～帳	～ちょう	1	じょ	ちょ
2	～場	～じょう	2	～庁	～ちょう	1	じょ	ちょ
2	～場	～じょう	2	～省	～しょう	1	じょ	しょ
2	～場	～じょう	2	～艘	～そう	1	じょ	そ
2	～場	～じょう	2	～長	～ちょう	1	じょ	ちょ
2	～室	～しつ	2	～日	～じつ	1	し	じ
2	～帳	～ちょう	2	～条	～じょう	1	ちょ	じょ
2	～帳	～ちょう	2	～畳	～じょう	1	ちょ	じょ
2	～帳	～ちょう	2	～省	～しょう	1	ちょ	しょ
2	～帳	～ちょう	2	～艘	～そう	1	ちょ	そ
2	～庁	～ちょう	2	～条	～じょう	1	ちょ	じょ
2	～庁	～ちょう	2	～畳	～じょう	1	ちょ	じょ
2	～庁	～ちょう	2	～省	～しょう	1	ちょ	しょ
2	～庁	～ちょう	2	～艘	～そう	1	ちょ	そ
2	～条	～じょう	2	～省	～しょう	1	じょ	しょ
2	～条	～じょう	2	～艘	～そう	1	じょ	そ
2	～条	～じょう	2	～長	～ちょう	1	じょ	ちょ
2	～畳	～じょう	2	～省	～しょう	1	じょ	しょ
2	～畳	～じょう	2	～艘	～そう	1	じょ	そ
2	～畳	～じょう	2	～長	～ちょう	1	じょ	ちょ
2	～省	～しょう	2	～艘	～そう	1	しょ	そ
2	～省	～しょう	2	～長	～ちょう	1	しょ	ちょ
2	～艘	～そう	2	～長	～ちょう	1	そ	ちょ
2	～色	～しょく	2	～足	～そく	1	しょ	そ
2	～通	～つう	2	～集	～しゅう	1	つ	しゅ
2	初～	しょ～	2	女～	じょ～	0	しょ	じょ
2	女～	じょ～	2	諸～	しょ～	0	じょ	しょ
2	斜	はす	2	発	はつ	1	す	つ
2	～史	～し	2	～寺	～じ	1	し	じ
2	～女	～じょ	2	～所	～しょ	1	じょ	しょ
2	～寺	～じ	2	～紙	～し	1	じ	し
2	～所	～しょ	2	～所	～じょ	1	しょ	じょ
