seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora	seed_example	partner_example
3	ちょうだい	ちょうだい	2	増大	ぞうだい	0	ちょ	ぞ	お水ちょうだい。	人口が増大している。
3	乾燥	かんそう	2	官庁	かんちょう	2	そ	ちょ	空気が乾燥している。	官庁で働いている。
3	乾燥	かんそう	2	鑑賞	かんしょう	2	そ	しょ	空気が乾燥している。	映画を鑑賞する。
3	人生	じんせい	2	申請	しんせい	0	じ	し	人生は短い。	ビザを申請しました。
3	人類	じんるい	2	親類	しんるい	0	じ	し	人類の歴史は長い。	親類が集まった。
3	修正	しゅうせい	2	中世	ちゅうせい	0	しゅ	ちゅ	文章を修正しました。	中世のお城を見学した。
3	修正	しゅうせい	2	中性	ちゅうせい	0	しゅ	ちゅ	文章を修正しました。	この洗剤は中性です。
3	優勝	ゆうしょう	2	郵送	ゆうそう	2	しょ	そ	日本が優勝した。	書類を郵送しました。
3	劇場	げきじょう	2	激増	げきぞう	2	じょ	ぞ	劇場で映画を見た。	事故が激増した。
3	勘定	かんじょう	2	官庁	かんちょう	2	じょ	ちょ	お勘定をお願いします。	官庁で働いている。
3	勘定	かんじょう	2	鑑賞	かんしょう	2	じょ	しょ	お勘定をお願いします。	映画を鑑賞する。
3	包装	ほうそう	2	包丁	ほうちょう	2	そ	ちょ	包装をお願いします。	包丁で野菜を切る。
3	友情	ゆうじょう	2	郵送	ゆうそう	2	じょ	そ	友情は大切です。	書類を郵送しました。
3	名人	めいじん	2	迷信	めいしん	2	じ	し	彼は将棋の名人だ。	それは迷信です。
3	商品	しょうひん	2	上品	じょうひん	0	しょ	じょ	この商品は人気があります。	彼女は上品な人です。
3	対照	たいしょう	2	体操	たいそう	2	しょ	そ	二つを対照する。	毎朝体操をします。
3	対照	たいしょう	2	大層	たいそう	2	しょ	そ	二つを対照する。	大層喜んでいた。
3	対象	たいしょう	2	体操	たいそう	2	しょ	そ	子供を対象にした本です。	毎朝体操をします。
3	対象	たいしょう	2	大層	たいそう	2	しょ	そ	子供を対象にした本です。	大層喜んでいた。
3	常識	じょうしき	2	葬式	そうしき	0	じょ	そ	それは常識だよ。	葬式に出ました。
3	感情	かんじょう	2	官庁	かんちょう	2	じょ	ちょ	感情を抑える。	官庁で働いている。
3	感情	かんじょう	2	鑑賞	かんしょう	2	じょ	しょ	感情を抑える。	映画を鑑賞する。
3	感想	かんそう	2	官庁	かんちょう	2	そ	ちょ	感想を聞かせてください。	官庁で働いている。
3	感想	かんそう	2	鑑賞	かんしょう	2	そ	しょ	感想を聞かせてください。	映画を鑑賞する。
3	成長	せいちょう	2	清掃	せいそう	2	ちょ	そ	子供の成長が早い。	教室の清掃をする。
3	挑戦	ちょうせん	2	造船	ぞうせん	0	ちょ	ぞ	新しいことに挑戦する。	造船の仕事をしている。
3	演奏	えんそう	2	延長	えんちょう	2	そ	ちょ	ピアノの演奏を聞いた。	試合が延長になった。
3	瞬間	しゅんかん	2	循環	じゅんかん	0	しゅ	じゅ	その瞬間を忘れない。	血液の循環が悪い。
3	製造	せいぞう	2	清掃	せいそう	2	ぞ	そ	車を製造する工場です。	教室の清掃をする。
3	財産	ざいさん	2	再三	さいさん	0	ざ	さ	財産を守る。	再三注意したのに。
3	賞品	しょうひん	2	上品	じょうひん	0	しょ	じょ	賞品をもらった。	彼女は上品な人です。
3	通勤	つうきん	2	集金	しゅうきん	0	つ	しゅ	毎日電車で通勤する。	集金に伺います。
3	通訳	つうやく	2	重役	じゅうやく	0	つ	じゅ	彼女は通訳をしている。	父は会社の重役です。
3	重要	じゅうよう	2	通用	つうよう	0	じゅ	つ	これは重要な問題です。	ここでは英語が通用する。
3	関する	かんする	2	感ずる	かんずる	2	す	ず	環境に関する話をした。	責任を感ずる。
3	順調	じゅんちょう	2	純情	じゅんじょう	2	ちょ	じょ	仕事は順調です。	彼は純情な人だ。
3	食料	しょくりょう	2	測量	そくりょう	0	しょ	そ	食料を買いに行く。	土地の測量をする。
3	食糧	しょくりょう	2	測量	そくりょう	0	しょ	そ	食糧を備える。	土地の測量をする。
4	交通	こうつう	2	公衆	こうしゅう	2	つ	しゅ	交通が便利です。	公衆の前で話すのは緊張する。
4	会場	かいじょう	2	改造	かいぞう	2	じょ	ぞ	会場はどこですか。	車を改造した。
4	失礼	しつれい	2	実例	じつれい	0	し	じ	失礼します。	実例を挙げてください。
4	小説	しょうせつ	2	調節	ちょうせつ	0	しょ	ちょ	面白い小説を読んだ。	温度を調節してください。
4	工場	こうじょう	2	構造	こうぞう	2	じょ	ぞ	工場で働いています。	建物の構造を調べる。
4	工場	こうじょう	2	高層	こうそう	2	じょ	そ	工場で働いています。	高層ビルが立ち並ぶ。
4	復習	ふくしゅう	2	複数	ふくすう	2	しゅ	す	毎日復習をします。	複数の意見がある。
4	校長	こうちょう	2	構造	こうぞう	2	ちょ	ぞ	校長が話を始めた。	建物の構造を調べる。
4	校長	こうちょう	2	高層	こうそう	2	ちょ	そ	校長が話を始めた。	高層ビルが立ち並ぶ。
4	習慣	しゅうかん	2	中間	ちゅうかん	0	しゅ	ちゅ	早起きの習慣がある。	中間テストがあります。
4	随分	ずいぶん	2	水分	すいぶん	0	ず	す	随分大きくなったね。	水分をとってください。
5	先週	せんしゅう	2	全集	ぜんしゅう	0	せ	ぜ	先週京都に行きました。	夏目漱石の全集を買った。
5	毎週	まいしゅう	2	枚数	まいすう	2	しゅ	す	毎週日曜日に出かけます。	枚数を数えてください。
3	不足	ふそく	2	付属	ふぞく	1	そ	ぞ	睡眠が不足しています。	付属の説明書を読んでください。
3	不足	ふそく	2	附属	ふぞく	1	そ	ぞ	睡眠が不足しています。	附属の部品を確認してください。
3	増加	ぞうか	2	消化	しょうか	0	ぞ	しょ	人口が増加している。	消化に良い食べ物です。
3	増加	ぞうか	2	超過	ちょうか	0	ぞ	ちょ	人口が増加している。	時間を超過した。
3	夢中	むちゅう	2	無数	むすう	1	ちゅ	す	ゲームに夢中になる。	空に無数の星が輝く。
3	字体	じたい	2	死体	したい	0	じ	し	この字体は読みにくい。	死体が見つかった。
3	少女	しょうじょ	2	長女	ちょうじょ	0	しょ	ちょ	少女が公園で遊んでいる。	彼女は長女です。
3	支店	してん	2	地点	ちてん	0	し	ち	東京支店で働いています。	この地点で待ち合わせよう。
3	数字	すうじ	2	習字	しゅうじ	0	す	しゅ	数字を書いてください。	習字を習っています。
3	治療	ちりょう	2	資料	しりょう	0	ち	し	治療を受けた。	資料を準備しました。
3	男子	だんし	2	団地	だんち	2	し	ち	男子のトイレはあちらです。	祖母は団地に住んでいる。
3	種類	しゅるい	2	狡い	ずるい	0	しゅ	ず	たくさんの種類があります。	そんなのずるいよ。
3	表示	ひょうじ	2	表紙	ひょうし	2	じ	し	画面に表示される。	本の表紙が破れた。
3	視点	してん	2	地点	ちてん	0	し	ち	違う視点で考える。	この地点で待ち合わせよう。
3	詩人	しじん	2	知人	ちじん	0	し	ち	彼は有名な詩人です。	知人に会いました。
3	貴重	きちょう	2	起床	きしょう	1	ちょ	しょ	貴重な経験ができた。	毎朝六時に起床します。
3	辞退	じたい	2	死体	したい	0	じ	し	招待を辞退した。	死体が見つかった。
3	選手	せんしゅ	2	扇子	せんす	2	しゅ	す	選手が入場します。	扇子で涼んだ。
3	長期	ちょうき	2	蒸気	じょうき	0	ちょ	じょ	長期の休みを取る。	やかんから蒸気が出る。
3	電子	でんし	2	電池	でんち	2	し	ち	電子の動きを調べる。	電池が切れた。
4	用事	ようじ	2	幼稚	ようち	2	じ	ち	用事があって行けない。	考えが幼稚だ。
4	用事	ようじ	2	要旨	ようし	2	じ	し	用事があって行けない。	論文の要旨を書く。
4	社長	しゃちょう	2	車掌	しゃしょう	1	ちょ	しょ	社長は今出かけています。	車掌に切符を見せた。
4	課長	かちょう	2	過剰	かじょう	1	ちょ	じょ	課長に相談しました。	過剰な反応だ。
4	辞典	じてん	2	地点	ちてん	0	じ	ち	辞典で調べる。	この地点で待ち合わせよう。
4	進む	すすむ	2	涼む	すずむ	1	す	ず	前に進んでください。	木陰で涼む。
5	丈夫	じょうぶ	2	勝負	しょうぶ	0	じょ	しょ	この机は丈夫です。	勝負に勝った。
5	家族	かぞく	2	加速	かそく	1	ぞ	そ	家族と旅行に行く。	車が加速した。
5	近い	ちかい	2	司会	しかい	0	ち	し	駅は近いです。	司会を務めます。
3	主義	しゅぎ	2	杉	すぎ	0	しゅ	す	私の主義に反する。	庭に杉が立っている。
3	刷る	する	2	吊る	つる	0	す	つ	ポスターを刷る。	服をハンガーに吊る。
3	地区	ちく	2	敷く	しく	0	ち	し	この地区は静かだ。	布団を敷く。
3	岸	きし	2	基地	きち	1	し	ち	川の岸を歩いた。	米軍の基地がある。
3	打つ	ぶつ	2	部首	ぶしゅ	1	つ	しゅ	子供をぶつのはよくない。	漢字の部首を覚える。
3	擦る	する	2	吊る	つる	0	す	つ	マッチを擦る。	服をハンガーに吊る。
3	散る	ちる	2	汁	しる	0	ち	し	桜の花が散る。	味噌汁の汁を飲む。
3	文字	もじ	2	餅	もち	1	じ	ち	文字を大きくしてください。	お正月に餅を食べる。
3	為る	する	2	吊る	つる	0	す	つ	宿題をします。	服をハンガーに吊る。
3	無事	ぶじ	2	武士	ぶし	1	じ	し	無事に家に着いた。	昔、武士がいました。
3	無視	むし	2	無地	むじ	1	し	じ	信号を無視するな。	無地のシャツを買った。
3	生地	きじ	2	基地	きち	1	じ	ち	この生地は柔らかい。	米軍の基地がある。
3	禅	ぜん	2	栓	せん	0	ぜ	せ	禅を学んでいます。	瓶の栓を抜く。
3	端	はし	2	鉢	はち	1	し	ち	道の端を歩く。	花を鉢に植えた。
3	記事	きじ	2	基地	きち	1	じ	ち	新聞の記事を読んだ。	米軍の基地がある。
4	もし	もし	2	餅	もち	1	し	ち	もし雨なら、行きません。	お正月に餅を食べる。
4	月	つき	2	隙	すき	0	つ	す	月がきれいですね。	隙を見せるな。
4	砂	すな	2	綱	つな	0	す	つ	砂が靴に入った。	綱を強く引く。
4	虫	むし	2	無地	むじ	1	し	じ	虫が飛んでいる。	無地のシャツを買った。
5	する	する	2	吊る	つる	0	す	つ	写真をTシャツにする。	服をハンガーに吊る。
5	バス	バス	2	×	ばつ	1	す	つ	バスで学校に行く。	答えに×をつけた。
5	七	しち	2	自治	じち	0	し	じ	七時に起きます。	自治を守る。
5	口	くち	2	櫛	くし	1	ち	し	口を開けてください。	櫛で髪をとかす。
5	夏	なつ	2	為す	なす	1	つ	す	夏は暑いです。	為すべきことをする。
5	橋	はし	2	鉢	はち	1	し	ち	橋を渡る。	花を鉢に植えた。
5	次	つぎ	2	杉	すぎ	0	つ	す	次は私の番です。	庭に杉が立っている。
5	父	ちち	2	自治	じち	0	ち	じ	父は会社員です。	自治を守る。
5	箸	はし	2	鉢	はち	1	し	ち	箸でご飯を食べる。	花を鉢に植えた。
5	西	にし	2	虹	にじ	1	し	じ	西の空が赤い。	空に虹が出た。
5	靴	くつ	2	屑	くず	1	つ	ず	靴を履く。	紙の屑を捨てる。
